WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;Artefact:FRB.FOBJ1.SCAL.1270;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1270;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1076;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1049;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1067;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1105;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1208;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1099;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1068;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1100;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1103;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1103;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1081;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1070;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1051;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1209;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1047;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1193;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1183;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1182-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1182-2;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1093;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1188;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1271;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1271;producteur est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1101;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1064;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1190;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1190;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1207;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1069;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1096;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1096;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1269;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1180-1;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1180-2;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1056;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1058;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1055;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1054;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1048;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1063;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1073;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1074;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1075;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1092;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1097;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.2207;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.2207;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1185;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1189;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1066;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1078;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1071;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1072;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1210;l'année de production est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1102;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1102;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1187;l'année de production est vide
WARNING;artefact:FRB.FOBJ1.SCAL.1187;producteur est vide
WARNING;Artefact:FRB.FOBJ1.SCAL.1211;l'année de production est vide
WARNING;Artefact:FRB.FOBJ2;libelle est vide
WARNING;Artefact:FRB.FOBJ2;date d'entrée est vide
WARNING;Artefact:FRB.FOBJ2;l'année de production est vide
WARNING;artefact:FRB.FOBJ2;localisation est vide
WARNING;artefact:FRB.FOBJ2;producteur est vide
WARNING;artefact:FRB.FOBJ2;etat est vide
WARNING;artefact:FRB.FOBJ2;la collection est vide
ERROR;artefact:V0000071.xml;Error 1064; ;1064 (42000): Erreur de syntaxe près de 'NULL,NULL,NULL,NULL,NULL,'',NULL,NULL,NULL,NULL)' à la ligne 1
